back	dos
may	pouvoir
first	premier
take	prendre
near	près
ready	prêt
main	principal
problem	problème
next	prochain
produce	produire
product	produit
deep	profond
four	quatre
than	que
what	quoi
any	quelconque
some	quelques
tail	queue
who	qui
quick	rapide
real	réel
notice	remarquer
fill	remplir
answer	répondre
rest	se reposer
nothing	rien
laugh	rire
king	roi
round	rond
wheel	roue
red	rouge
street	rue
her	son
his	son
saw	scie
science	science
dry	sec
week	semaine
remember	se souvenir
serve	servir
only	seulement
if	si
simple	simple
six	six
care	soin
earth	terre
ground	terre
sun	soleil
top	sommet
often	souvent
special	spécial
follow	suivre
on	sur
surface	surface
system	système
table	table
late	tard
such	tel
hold	tenir
will	volonté
pull	tirer
you	vous
your	votre
always	toujours
turn	tourner
very	très
three	trois
find	trouver
one	un
once	une fois
unit	unité
verb	verbe
true	vrai
toward	vers
green	vert
life	vie
town	ville
see	voir
voice	voix
travel	voyager
vowel	voyelle
search	chercher
choose	choisir
pick	cueillir
select	choisir
share	partager
party	fête
desert	désert
fell	abattre
chord	accord
bear	ours
charge	charge
buy	acheter
finish	finir
steel	acier
current	courant
case	cas
matter	matière
age	âge
wave	vague
sharp	tranchant
wing	aile
magnet	aimant
thus	ainsi
feed	nourrir
match	allumette
fun	amusement
corner	coin
ring	bague
flat	plat
prepare	préparer
support	soutien
silver	argent
arm	bras
arrange	arranger
arrive	arriver
occur	arriver
art	art
lift	ascenseur
season	saison
quite	assez
atom	atome
tie	attacher
expect	attendre
catch	attraper
forward	en avant
view	vue
fight	se battre
ball	ballon
band	bande
bank	banque
bar	bar
bottom	fond
stick	bâton
beat	battre
hit	frapper
pretty	joli
baby	bébé
bit	bit
strange	étrange
block	bloquer
drink	boire
forest	forêt
edge	bord
shore	rivage
mouth	bouche
shop	boutique
store	magasin
branch	branche
bright	brillant
shine	briller
break	casser
noise	bruit
burn	brûler
brown	brun
log	bûche
office	bureau
present	présent
stone	pierre
quiet	calme
truck	camion
camp	camp
duck	canard
gun	fusil
skill	habileté
captain	capitaine
capital	capital
character	caractère
shell	coquille
square	carré
card	carte
reason	raison
famous	célèbre
single	célibataire
cell	cellule
cent	centime
middle	milieu
circle	cercle
meat	viande
chair	chaise
seat	siège
chance	chance
hat	chapeau
hunt	chasser
cat	chat
shoe	chaussure
bat	chauve-souris
chief	chef
path	chemin
dear	cher
ride	chevaucher
hair	cheveux
sky	ciel
key	clé
bell	cloche
heart	cœur
safe	coffre-fort
anger	colère
collect	rassembler
hill	colline
colony	colonie
column	colonne
major	majeur
trade	commerce
company	compagnie
compare	comparer
suit	complet
include	inclure
count	compter
condition	condition
consider	considérer
consonant	consonne
glad	content
happy	heureux
continent	continent
continue	continuer
opposite	opposé
control	contrôle
copy	copier
corn	maïs
rope	corde
string	corde
coast	côte
cotton	coton
neck	cou
flow	couler
blow	souffler
yard	cour
stream	ruisseau
race	race
cost	coûter
fear	peur
create	créer
shout	crier
believe	croire
gather	rassembler
cook	cuire
lady	dame
danger	danger
dance	danser
die	mourir
death	mort
describe	décrire
degree	degré
depend	dépendre
spend	dépenser
wish	souhaiter
determine	déterminer
guess	deviner
dictionary	dictionnaire
difficult	difficile
trouble	problème
speech	discours
discuss	discuter
divide	diviser
division	division
doctor	médecin
finger	doigt
dollar	dollar
sleep	dormir
double	double
gentle	doux
soft	mou
sheet	feuille
law	loi
straight	droit
scale	écaille
save	sauver
skin	peau
effect	effet
equal	égal
electric	électrique
element	élément
student	étudiant
raise	élever
job	travail
yet	encore
energy	énergie
child	enfant
enemy	ennemi
huge	énorme
enter	entrer
send	envoyer
thick	épais
shoulder	épaule
ear	oreille
wife	épouse
team	équipe
climb	grimper
slave	esclave
hope	espoir
gas	gaz
floor	plancher
spread	étendre
summer	été
stretch	étendre
surprise	surprendre
sit	s’asseoir
event	événement
exact	exact
excite	exciter
exercise	exercice
require	exiger
experience	expérience
experiment	expérience
wrong	incorrect
woman	femme
window	fenêtre
iron	fer
felt	feutre
fig	figue
wire	fil
son	fils
smell	odeur
flower	fleur
fair	juste
loud	fort
crowd	foule
provide	fournir
supply	offre
fraction	fraction
cool	refroidir
fresh	frais
brother	frère
rub	frotter
fruit	fruit
win	gagner
station	gare
general	général
type	type
ice	glace
slip	glisser
drop	goutte
seed	semence
fat	graisse
tall	grand
size	taille
gray	gris
guide	guide
clothe	habiller
dress	robe
hurry	se dépêcher
grass	herbe
history	histoire
winter	hiver
human	humain
oil	huile
eight	huit
imagine	imaginer
print	imprimer
indicate	indiquer
industry	industrie
insect	insecte
instant	instant
moment	moment
instrument	instrument
tool	outil
invent	inventer
crop	jabot
leg	jambe
garden	jardin
yellow	jaune
throw	jeter
joy	joie
connect	relier
join	joindre
lake	lac
allow	permettre
milk	lait
broad	large
wide	large
wash	laver
rise	monter
row	ramer
liquid	liquide
bed	lit
engine	moteur
phrase	locution
length	longueur
heavy	lourd
thin	mince
master	maître
bad	mauvais
coat	manteau
market	marché
mass	masse
material	matériel
mix	mélanger
melody	mélodie
lie	mentir
metal	métal
method	méthode
noon	midi
million	million
mine	mine
tiny	minuscule
modern	moderne
month	mois
molecule	molécule
mount	monter
clock	horloge
dead	mort
motion	mouvement
wall	mur
swim	nager
nation	nation
nature	nature
natural	naturel
sail	voile
born	né
necessary	nécessaire
clean	propre
nine	neuf
nose	nez
level	niveau
cloud	nuage
observe	observer
egg	œuf
offer	offrir
operate	opérer
organ	organe
original	original
bone	os
either	ou
oxygen	oxygène
bread	pain
pair	paire
dad	papa
paragraph	paragraphe
similar	semblable
parent	parent
speak	parler
particular	particulier
past	passé
poor	pauvre
pay	payer
lost	perdu
period	période
perhaps	peut-être
track	piste
please	plaire
board	planche
planet	planète
plural	pluriel
rather	plutôt
poem	poème
weight	poids
apple	pomme
wear	porter
position	position
post	poteau
push	pousser
chick	poussin
practice	pratique
spring	printemps
probable	probable
process	processus
suggest	suggérer
property	propriété
protect	protéger
prove	prouver
quotient	quotient
root	racine
radio	radio
speed	vitesse
spoke	rayon
receive	recevoir
region	région
thank	remercier
meet	rencontrer
repeat	répéter
reply	répondre
represent	représenter
solve	résoudre
result	résultat
dream	rêve
rich	riche
rose	rose
roll	rouler
sand	sable
salt	sel
soil	terre
blood	sang
except	sauf
jump	sauter
wild	sauvage
section	section
segment	segment
sense	sens
separate	séparer
seven	sept
whether	si
century	siècle
sign	signe
silent	silencieux
sister	sœur
evening	soir
soldier	soldat
solution	solution
sudden	soudain
smile	sourire
subtract	soustraire
substance	substance
success	succès
sugar	sucre
suffix	suffixe
subject	sujet
especially	surtout
syllable	syllabe
symbol	symbole
spot	tache
temperature	température
weather	temps
term	terme
third	troisième
tone	ton
total	total
touch	toucher
train	train
triangle	triangle
hole	trou
tube	tube
kill	tuer
cow	vache
value	valeur
valley	vallée
steam	vapeur
vary	varier
sell	vendre
glass	verre
village	village
twenty	vingt
visit	visiter
neighbor	voisin
trip	voyage
sight	vue
agree	être d’accord
